Year,Month,news_category,keyword,headline,date,news_station,link
2022,Jan,การเมือง,เลือกตั้งซ่อม,"""เพชร-กรุณพล""ลุ้นสมัครเลือกตั้งซ่อมหากจับได้เบอร์3ชู3นิ้วแน่",2022-01-05,ไทยรัฐ,https://www.thairath.co.th/news/politic/2280636
2022,Jan,การเมือง,เลือกตั้งซ่อมหลักสี่,ชมคลิป:เกาะติด#เลือกตั้งซ่อมหลักสี่สดจากเวทีปราศรัยใหญ่พรรคเพื่อไทย,2022-01-29,The Standard,https://thestandard.co/phue-thai-laksi-speech/
2022,Jan,การเมือง,นายกฯ,นายกฯเปิดตึกไทยคู่ฟ้าวันเด็กแห่งชาติพานั่งเก้าอี้นายกฯสร้างแรงบันดาลใจรับฟังข้อเสนอแนะจากคนรุ่นใหม่,2022-01-08,The Standard,https://thestandard.co/pm-open-thai-khu-fah-building-on-children-day/
2022,Jan,การเมือง,นายกฯ,นายกฯยินดีดัชนีความเชื่อมั่นอนาคตเศรษฐกิจภูมิภาคธ.ค.64ปรับเพิ่มขึ้น,2022-01-02,ไทยรัฐ,https://www.thairath.co.th/news/politic/2278337
2022,Jan,การเมือง,ประยุทธ์,ถึงคราว ‘ประยุทธ์’เสื่อมมนต์ขลัง,2022-01-31,VoiceTV,https://voicetv.co.th/read/jOuSNB3XA
2022,Jan,การเมือง,ประยุทธ์,ปราศรัยใหญ่ไทยภักดีหมอวรงค์เสนอ4สูตรวัคซีนการเมืองเลือกพันธุ์เทพเติมคนดีเข้าสภา-ช่วยประยุทธ์ปราบโกง,2022-01-29,The Standard,https://thestandard.co/thaipakdee-big-speech-by-warong/
2022,Jan,การเมือง,โควิด,"""นิโรธ""ขอหารือ""ชวน""งดประชุมสภาหลัง""ชัยวุฒิ""ประชุมพปชร.ติดโควิด",2022-01-24,ไทยรัฐ,https://www.thairath.co.th/news/politic/2295617
2022,Jan,การเมือง,โควิด,โฆษกศบค.ยันเตือนโควิดระดับ4ไม่ได้ห้ามเดินทางข้ามจังหวัดแต่ขอจำเป็น,2022-01-07,ไทยรัฐ,https://www.thairath.co.th/news/politic/2282337
2022,Jan,การเมือง,ส.ส.,กกต.ประกาศวันเลือกตั้งซ่อมส.ส.กทม.เขต9วันที่30ม.ค.นี้,2022-01-03,workpoint,https://workpointtoday.com/politics-vote312565/
2022,Jan,การเมือง,ส.ส.,กกต.สรุปผลคะแนนเลือกตั้งซ่อมสงขลา-ชุมพรประชาธิปัตย์คว้าเก้าอี้ส.ส.,2022-01-20,ไทยรัฐ,https://www.thairath.co.th/news/politic/2292482
2022,Jan,การเมือง,เพื่อไทย,เพื่อไทย'หาเสียงวันสุดท้ายอ้อนเลือก'สุรชาติ'เข้าสภาฯทวงศักดิ์ศรีคืนชาวหลักสี่-จตุจักร,2022-01-29,VoiceTV,https://voicetv.co.th/read/OXxrRLc_N
2022,Jan,การเมือง,เพื่อไทย,รัฐบาล'โต้'เพื่อไทย'ปมวิจารณ์รบ.เผชิญโอไมครอน,2022-01-08,VoiceTV,https://voicetv.co.th/read/j4MBglK_O
2022,Jan,การเมือง,พปชร.,เรืองไกร'ลาออกพปชร.แล้วจ่อยื่นกกต.ตรวจคุณสมบัติ'ประยุทธ์'นั่งนายกฯ8ปี,2022-01-24,VoiceTV,https://voicetv.co.th/read/GfN3sXObk
2022,Jan,การเมือง,พปชร.,"""สรัลรัศมิ์""มั่นใจประชาชนเทคะแนนให้พปชร.เลือกตั้งซ่อมหลักสี่",2022-01-08,ThaiPBS,https://www.thaipbs.or.th/news/content/311457
2022,Jan,การเมือง,สภา,“ชลน่าน”แนะ“บิ๊กตู่”ยุบสภาไม่ต้องอายเป็นการลงจากอำนาจอย่างสวยที่สุด,2022-01-31,ไทยรัฐ,https://www.thairath.co.th/news/politic/2302270
2022,Jan,การเมือง,สภา,‘วิษณุ’คาดกฎหมายลูก2ฉบับเข้ารัฐสภาก.พ.-นายกฯสั่งครม.รับมือศึกซักฟอก,2022-01-24,VoiceTV,https://voicetv.co.th/read/SP_cgsa3M
2022,Jan,การเมือง,กรุงเทพ,อุทธรณ์ยืนยกฟ้อง4ขรก.คดีทุจริตซื้อรถดับเพลิงกทม.6พันล้าน,2022-01-18,ThaiPBS,https://www.thaipbs.or.th/news/content/311749
2022,Jan,การเมือง,กรุงเทพ,ราชกิจจานุเบกษาประกาศจำนวนราษฎรในไทย66.1ล้านคนกทม.มากสุด5.5ล้าน,2022-01-18,ไทยรัฐ,https://www.thairath.co.th/news/politic/2290830
2022,Jan,การเมือง,รัฐบาล,"""ฝ่ายค้าน""ยื่นอภิปรายทั่วไปรัฐบาลเน้น4ปมปัญหา",2022-01-21,ThaiPBS,https://www.thaipbs.or.th/news/content/311846
2022,Jan,การเมือง,รัฐบาล,โฆษกรัฐบาลลั่นรัฐบาลพร้อมแจงสภาหลังเพื่อไทยจ่อยื่นอภิปรายตามม.152,2022-01-10,ไทยรัฐ,https://www.thairath.co.th/news/politic/2284240
2022,Feb,การเมือง,สภา,รัฐสภาไทยประกอบพิธีพราหมณ์ตั้งศาล‘พระสยามเทวาธิราช-ศาลตายาย’ประจำรัฐสภา,2022-02-21,The Standard,https://thestandard.co/thai-parliament-performs-brahmin-ceremony-establishes-court/
2022,Feb,การเมือง,สภา,ชลน่านนำเพื่อไทยยื่นประธานสภาฯแก้รัฐธรรมนูญ“นายกฯต้องเป็นส.ส.”,2022-02-23,workpoint,https://workpointtoday.com/party-pheuthai/
2022,Feb,การเมือง,ประยุทธ์,"""ประยุทธ์""ปัดมีแค่4คนมาจากคสช.-ขออย่าฟังแค่โจทย์ฝ่ายค้าน",2022-02-17,ThaiPBS,https://www.thaipbs.or.th/news/content/312780
2022,Feb,การเมือง,บิ๊กตู่,“ธนกร”เผย“บิ๊กตู่”ย้ำความสำเร็จคนละครึ่งเฟส4ยันรัฐบาลตั้งใจแก้ปัญหา,2022-02-20,ไทยรัฐ,https://www.thairath.co.th/news/politic/2320570
2022,Feb,การเมือง,นายกฯ,"""พิธา""ทวงสัญญาหาเสียงนายกฯชี้เป็นคนพูดไม่จำแต่คนฟังไม่ลืม",2022-02-18,ThaiPBS,https://www.thaipbs.or.th/news/content/312856
2022,Feb,การเมือง,นายกฯ,ภารกิจนายกฯ28ก.พ.ตามคืบหน้าท่าเรืออุตสาหกรรมมาบตาพุดก่อนไปสมุทรปราการ,2022-02-26,ไทยรัฐ,https://www.thairath.co.th/news/politic/2326055
2022,Feb,การเมือง,ส.ส.,ประยุทธ์ถึงสภาพร้อมรับศึกอภิปรายกำชับส.ส.ช่วยกันสู้-สามัคคีกันไม่สนทักษิณเตือนถูกไฮแจ็กเก้าอี้นายกฯ,2022-02-17,The Standard,https://thestandard.co/assembly-house-of-representatives-170265/
2022,Feb,การเมือง,ส.ส.,“สุรเชษฐ์”โวยแจ้งขอลงส.ส.เมืองคอนปชป.แต่ผู้บริหารพรรคกลับเมิน,2022-02-05,ไทยรัฐ,https://www.thairath.co.th/news/politic/2307078
2022,Feb,การเมือง,รัฐบาล,ธนาธรรับเคยคิดพาคนลงถนนไล่รัฐบาลช่วงหลังยุบอนาคตใหม่แต่สถานการณ์ทำฉากทัศน์เปลี่ยนย้อนไปได้จะซ่อมแซมบางเรื่อง,2022-02-21,The Standard,https://thestandard.co/thanathorn-juangroongruangkit-interview/
2022,Feb,การเมือง,รัฐบาล,“ธนกร”เผย“บิ๊กตู่”ย้ำความสำเร็จคนละครึ่งเฟส4ยันรัฐบาลตั้งใจแก้ปัญหา,2022-02-20,ไทยรัฐ,https://www.thairath.co.th/news/politic/2320570
2022,Feb,การเมือง,โควิด,"""ศุภชัย""แจงปรับโควิด-19รักษาตามสิทธิ์เพื่อเซฟชีวิตผู้ป่วยอาการหนัก",2022-02-25,ไทยรัฐ,https://www.thairath.co.th/news/politic/2325675
2022,Feb,การเมือง,โควิด,"""ชวน""สั่งเข้มงวดคุมโควิดหลังส.ส.ติดเชื้อเพิ่ม2คน",2022-02-23,ThaiPBS,https://www.thaipbs.or.th/news/content/312994
2022,Feb,การเมือง,ครม.,วิโรจน์-สุรเชษฐ์'ค้านครม.ต่ออายุสัมปทานรถไฟฟ้าสายสีเขียวสุดตัว,2022-02-08,VoiceTV,https://voicetv.co.th/read/GJZ4NwcmD
2022,Feb,การเมือง,ครม.,“อนุทิน”ปัดตอบเอี่ยวปมสัมปทานรถไฟฟ้าหรือไม่รมต.ภูมิใจไทยไม่ประชุมครม.,2022-02-08,ไทยรัฐ,https://www.thairath.co.th/news/politic/2310337
2022,Feb,การเมือง,กทม.,"""วิษณุ""เผย“อนุพงษ์”แจงไทม์ไลน์เลือกผู้ว่าฯกทม.พ.ค.-เข้าครม.มี.ค.",2022-02-01,ไทยรัฐ,https://www.thairath.co.th/news/politic/2303397
