year,month,news_category,keyword,frequency
2022,Jan,การเมือง,เลือกตั้งซ่อมหลักสี่,231
2022,Jan,การเมือง,นายกฯ,214
2022,Jan,การเมือง,"ประยุทธ์, บิ๊กตู่",187
2022,Jan,การเมือง,โควิด-19,178
2022,Jan,การเมือง,ส.ส.,153
2022,Jan,การเมือง,เพื่อไทย,150
2022,Jan,การเมือง,พลังประชารัฐ,144
2022,Jan,การเมือง,สภา,138
2022,Jan,การเมือง,กรุงเทพฯ,135
2022,Jan,การเมือง,รัฐบาล,134
2022,Feb,การเมือง,สภา,252
2022,Feb,การเมือง,"ประยุทธ์, บิ๊กตู่",239
2022,Feb,การเมือง,นายกฯ,212
2022,Feb,การเมือง,ส.ส.,168
2022,Feb,การเมือง,รัฐบาล,168
2022,Feb,การเมือง,โควิด-19,138
2022,Feb,การเมือง,ครม.,125
2022,Feb,การเมือง,กรุงเทพ,116
2022,Feb,การเมือง,เลือกตั้ง,110
2022,Feb,การเมือง,อภิปราย,86
2022,Mar,การเมือง,กรุงเทพฯ,294
2022,Mar,การเมือง,"ประยุทธ์, บิ๊กตู่",200
2022,Mar,การเมือง,เลือกตั้งผู้ว่าฯกทม.,198
2022,Mar,การเมือง,นายกฯ,185
2022,Mar,การเมือง,โควิด-19,134
2022,Mar,การเมือง,รัฐบาล,122
2022,Mar,การเมือง,เพื่อไทย,112
2022,Mar,การเมือง,ประชาชน,111
2022,Mar,การเมือง,ครม.,108
2022,Mar,การเมือง,ส.ส.,98
2022,Apr,การเมือง,กรุงเทพฯ,307
2022,Apr,การเมือง,นายกฯ,235
2022,Apr,การเมือง,ผู้ว่าฯกทม.,199
2022,Apr,การเมือง,หาเสียง,179
2022,Apr,การเมือง,"ประยุทธ์, บิ๊กตู่",169
2022,Apr,การเมือง,เลือกตั้ง,157
2022,Apr,การเมือง,เพื่อไทย,131
2022,Apr,การเมือง,ผู้สมัคร,124
2022,Apr,การเมือง,ส.ส.,121
2022,Apr,การเมือง,นโยบาย,113
2022,May,การเมือง,กรุงเทพฯ,594
2022,May,การเมือง,ชัชชาติ,391
2022,May,การเมือง,เลือกตั้งผู้ว่าฯกทม.,322
2022,May,การเมือง,ส.ก.,239
2022,May,การเมือง,"ประยุทธ์, บิ๊กตู่",223
2022,May,การเมือง,นายกฯ,221
2022,May,การเมือง,เพื่อไทย,153
2022,May,การเมือง,นโยบาย,129
2022,May,การเมือง,รัฐบาล,123
2022,May,การเมือง,ประชาชน,121
2022,Jun,การเมือง,ชัชชาติ,334
2022,Jun,การเมือง,นายกฯ,259
2022,Jun,การเมือง,"ประยุทธ์, บิ๊กตู่",226
2022,Jun,การเมือง,กรุงเทพฯ,207
2022,Jun,การเมือง,สภา,173
2022,Jun,การเมือง,รัฐบาล,167
2022,Jun,การเมือง,ส.ส.,134
2022,Jun,การเมือง,ประชาชน,125
2022,Jun,การเมือง,กัญชา,117
2022,Jun,การเมือง,เพื่อไทย,107
2022,Jul,การเมือง,"ประยุทธ์, บิ๊กตู่",339
2022,Jul,การเมือง,นายกฯ,251
2022,Jul,การเมือง,ส.ส.,220
2022,Jul,การเมือง,สภา,202
2022,Jul,การเมือง,รัฐบาล,190
2022,Jul,การเมือง,เพื่อไทย,166
2022,Jul,การเมือง,อภิปรายไม่ไว้วางใจ,164
2022,Jul,การเมือง,ซักฟอก,160
2022,Jul,การเมือง,ประชาชน,144
2022,Jul,การเมือง,โควิด-19,124
2022,Aug,การเมือง,นายกฯ ,476
2022,Aug,การเมือง,"ประยุทธ์, บิ๊กตู่",463
2022,Aug,การเมือง,สภา,312
2022,Aug,การเมือง,นายกฯ8ปี,274
2022,Aug,การเมือง,ศาล,252
2022,Aug,การเมือง,ส.ส.,251
2022,Aug,การเมือง,"ประวิตร, บิ๊กป้อม",217
2022,Aug,การเมือง,รัฐบาล,141
2022,Aug,การเมือง,เลือกตั้ง,139
2022,Aug,การเมือง,ประชาชน,133
2022,Sep,การเมือง,"ประยุทธ์, บิ๊กตู่",297
2022,Sep,การเมือง,นายกฯ,281
2022,Sep,การเมือง,ศาล,264
2022,Sep,การเมือง,"ประวิตร, บิ๊กป้อม",261
2022,Sep,การเมือง,นายกฯ8ปี,190
2022,Sep,การเมือง,เพื่อไทย,149
2022,Sep,การเมือง,ส.ส.,140
2022,Sep,การเมือง,ประชาชน,128
2022,Sep,การเมือง,น้ำท่วม,125
2022,Sep,การเมือง,รธน.,125
2022,Oct,การเมือง,"ประยุทธ์, บิ๊กตู่",342
2022,Oct,การเมือง,นายกฯ,246
2022,Oct,การเมือง,เพื่อไทย,183
