date,การเมือง,กีฬา,ต่างประเทศ,บันเทิง,วิทยาศาสตร์เทคโนโลยี,เศรษฐกิจ,สังคมไทย,สิ่งแวดล้อม,อาชญากรรม,total
1/4/2022,0,0,1,0,0,0,0,0,0,1
1/6/2022,0,0,1,0,0,0,0,0,0,1
1/10/2022,0,0,1,0,0,0,0,0,0,1
1/11/2022,0,0,1,0,0,0,0,0,0,1
1/15/2022,0,0,2,0,0,0,0,0,0,2
1/18/2022,0,0,1,0,0,0,0,0,0,1
1/19/2022,0,0,1,0,0,0,0,0,0,1
1/20/2022,0,0,2,0,0,0,0,0,0,2
1/21/2022,0,0,1,0,0,0,0,0,0,1
1/22/2022,0,0,2,0,0,0,0,0,0,2
1/23/2022,0,0,4,0,0,0,0,0,0,4
1/24/2022,0,0,3,0,0,0,0,0,0,3
1/25/2022,0,0,6,0,0,2,0,0,0,8
1/26/2022,0,0,4,0,0,1,0,0,0,5
1/27/2022,0,0,4,0,0,0,0,0,0,4
1/28/2022,0,0,4,0,0,0,0,0,0,4
1/29/2022,0,0,1,0,0,0,0,0,0,1
1/30/2022,0,0,1,0,0,0,0,0,0,1
1/31/2022,0,0,1,0,0,1,0,0,0,2
2/1/2022,0,0,3,0,0,2,0,0,0,5
2/2/2022,0,0,2,0,0,4,0,0,0,6
2/3/2022,0,0,3,0,0,4,0,0,0,7
2/4/2022,0,0,2,0,0,0,0,0,0,2
2/5/2022,0,0,2,0,0,0,0,0,0,2
2/6/2022,0,0,2,0,0,0,0,0,0,2
2/7/2022,0,0,4,0,0,0,0,0,0,4
2/8/2022,0,0,4,0,0,0,0,0,0,4
2/9/2022,0,0,4,0,0,0,0,0,0,4
2/10/2022,0,0,2,0,0,1,0,0,0,3
2/11/2022,0,0,7,0,0,0,0,0,0,7
2/12/2022,0,0,8,0,0,1,0,0,0,9
2/13/2022,0,0,6,0,0,0,0,0,0,6
2/14/2022,0,0,12,0,0,3,0,0,0,15
2/15/2022,0,0,11,0,0,7,1,0,1,20
2/16/2022,0,0,9,0,0,3,0,0,0,12
2/17/2022,0,1,7,0,0,4,0,0,0,12
2/18/2022,0,0,7,0,0,3,0,0,0,10
2/19/2022,0,0,6,0,0,0,0,0,0,6
2/20/2022,0,0,6,0,0,0,0,0,0,6
2/21/2022,0,0,12,0,0,2,0,0,0,14
2/22/2022,0,1,25,0,1,8,0,0,0,35
2/23/2022,0,1,24,0,0,6,0,0,0,31
2/24/2022,5,1,48,0,2,12,1,0,1,70
2/25/2022,7,7,42,0,2,9,4,0,0,71
