set,headline,link,date,news_station,category
1,ด่วน ผวจ.ปราจีนบุรีเตรียมแถลง ซีเซียม 137 สารอันตราย หายจากโรงไฟฟ้าฯ,https://www.thairath.co.th/news/local/central/2653246,2023-03-14,ไทยรัฐ,สังคมไทย
1,"ออกหมายจับเพิ่ม ""กำนันนก นครปฐม"" พยานหลักฐานชัด โยงมือปืนฆ่าตำรวจทางหลวง",https://www.thairath.co.th/news/crime/2723350,2023-09-07,ไทยรัฐ,อาชญากรรม
1,ชื่นมื่น ก้าวไกล ถก 5 พรรคร่วม หารือ MOU คุยจัดตั้งรัฐบาล “พิธา-ชลน่าน” จับมือโชว์สื่อ,https://www.thairath.co.th/news/politic/2694749,2023-05-17,ไทยรัฐ,การเมือง
2,"เร่งค้นหา ""แตงโม"" พลัดตกสปีดโบ๊ตกลางแม่น้ำเจ้าพระยา",https://www.thaipbs.or.th/news/content/313058,2022-02-24,ThaiPBS,อาชญากรรม
2,"ระทึก! เปิดสภา โหวตนายก ฝ่า 376 ""พิธา"" จะขึ้นสวรรค์ หรือได้แค่ฝันค้าง",https://www.thairath.co.th/news/politic/2709100,2023-07-13,ไทยรัฐ,การเมือง
2,เกิดเหตุเหยียบกันในงานฮาโลวีนอิแทวอน หัวใจหยุดเต้นต้อง CPR กว่า 50 ราย,https://www.thairath.co.th/news/foreign/2539475,2022-10-29,ไทยรัฐ,ต่างประเทศ
3,"ข้าวเหนียวมะม่วง ร้านดังยอดพุ่ง 4 เท่า หลัง ""มิลลิ"" กินโชว์บนเวทีดังระดับโลก",https://www.thairath.co.th/news/society/2370011,2022-04-17,ไทยรัฐ,สังคมไทย
3,ลุงพล เปิดตัวทีมทนายใหม่สู้คดีน้องชมพู่ หลังศาลสั่งถอนทีมทนายตั้ม,https://www.thairath.co.th/news/crime/2335812,2022-03-08,ไทยรัฐ,อาชญากรรม
3,สหรัฐฯ ขู่คว่ำบาตรรุนแรง หากรัสเซียรุกรานยูเครน ,https://thestandard.co/us-threatens-severe-sanctions-if-russia-invades-ukraine/,2022-01-10,The Standard,ต่างประเทศ
4,เพจดังเปิดเอกสาร โตโน่ ว่ายน้ำ 33 ภารกิจ-หน่วยงานรับผิดชอบ สงสัยใครออกค่าใช้จ่าย,https://www.thairath.co.th/entertain/news/2529573,2022-10-18,ไทยรัฐ,บันเทิง
4,ส.ว.ไม่ทน หลังชาวเน็ตผุดแฮชแท็ก ไม่สนับสนุน #ธุรกิจสว,https://www.thairath.co.th/news/society/2709617,2023-07-14,ไทยรัฐ,การเมือง
