headline,sample,link,date,news_station,category,,total days,202
"เร่งค้นหา ""แตงโม"" พลัดตกสปีดโบ๊ตกลางแม่น้ำเจ้าพระยา",part_2_1,https://www.thaipbs.or.th/news/content/313058,2/25/2022,ThaiPBS,อาชญากรรม,,,
"ทร.ส่งเรือ นักประดาน้ำ ชุดปฏิบัติการพิเศษ ช่วยค้นหา ""แตงโม""",part_2_2,https://www.thairath.co.th/news/crime/2325712,2/25/2022,ไทยรัฐ,อาชญากรรม,,,
"เรือตรวจการณ์ ปภ.ออกตรวจแนวลำน้ำเจ้าพระยา ค้นหา ""แตงโม"" อีกครั้ง",,https://www.thairath.co.th/news/crime/2325680,2/25/2022,ไทยรัฐ,อาชญากรรม,,,
"เริ่มค้นหา ""แตงโม นิดา"" อีกครั้ง รัศมี 1 กม. รอบท่าเรือพิบูลสงคราม",part_2_2,https://www.thairath.co.th/entertain/news/2325067,2/25/2022,ไทยรัฐ,บันเทิง,,,
"แม่ ""แตงโม นิดา"" เผยลางสังหรณ์ เพื่อนหาย ก่อนโผล่ โทรให้คนมารับ (คลิป)",,https://www.thairath.co.th/entertain/news/2325076,2/25/2022,ไทยรัฐ,บันเทิง,,,
"""เปิ้ล นาคร"" ระดมทีมเจ็ตสกี ช่วยค้นหา ""แตงโม"" รอบ 2 ",,/news/content/313086,2/25/2022,ThaiPBS,อาชญากรรม,,,
โซเชียลเผยภาพ แตงโม และเสื้อผ้าที่ใส่บนสปีดโบ๊ตก่อนพลัดตกเรือ,part_2_2,https://www.thairath.co.th/entertain/news/2325155,2/25/2022,ไทยรัฐ,บันเทิง,,,
ย้อนไทม์ไลน์ชีวิต แตงโม นิดา เคยรถคว่ำบนทางด่วน ก่อนพลัดตกเรือ,,https://www.thairath.co.th/entertain/news/2325071,2/25/2022,ไทยรัฐ,บันเทิง,,,
ชาวเน็ตคาดเรือที่ประสบเหตุ แตงโม พลัดตก เป็นของสามี เบนซ์ พริกไทย,part_2_2,https://www.thairath.co.th/entertain/news/2325100,2/25/2022,ไทยรัฐ,บันเทิง,,,
"พี่ชาย ""แตงโม นิดา"" เผยน้องว่ายน้ำเป็น แต่ไม่รู้เก่งแค่ไหน ลุ้นให้ปลอดภัย",,https://www.thairath.co.th/entertain/news/2324940,2/25/2022,ไทยรัฐ,บันเทิง,,,
"ยุติการค้นหา ""แตงโม นิดา"" ชั่วคราว เพื่อนเผยตอนหายไปสวมเสื้อสีขาว",part_2_2,https://www.thairath.co.th/entertain/news/2324982,2/25/2022,ไทยรัฐ,บันเทิง,,,
"""กรมเจ้าท่า"" ขอ ""เรือ"" ทุกลำที่แล่นผ่านจุดค้นหา ""แตงโม นิดา"" โปรดขับช้าและเบา",,https://www.thairath.co.th/news/society/2325345,2/25/2022,ไทยรัฐ,สังคมไทย,,,
โพสต์ล่าสุด แตงโม นิดา ก่อนพลัดตกเรือกลางแม่น้ำเจ้าพระยา,,https://www.thairath.co.th/entertain/news/2324867,2/25/2022,ไทยรัฐ,บันเทิง,,,
"อ.ธรณ์ แนะวิธีเอาตัวรอดเมื่อตกแม่น้ำ หลัง ""แตงโม นิดา"" พลัดตกเรือ",,https://www.thairath.co.th/news/society/2325267,2/25/2022,ไทยรัฐ,สังคมไทย,,,
คุณแม่แตงโม สงสัยทำไมเพื่อนโทรให้ปิดข่าว ผู้จัดการส่วนตัวติดต่อไม่ได้ (คลิป),,https://www.thairath.co.th/entertain/news/2325021,2/25/2022,ไทยรัฐ,บันเทิง,,,
"คนเห็นเหตุการณ์ เล่านาที ""แตงโม นิดา"" ตกสปีดโบ๊ต จมน้ำหายไม่รู้ชะตากรรม",part_2_2,https://www.thairath.co.th/entertain/news/2324905,2/25/2022,ไทยรัฐ,บันเทิง,,,
แฮชแท็ก #แตงโม พุ่งติดเทรนด์ หลังดาราสาวพลัดตกเรือ กลางแม่น้ำเจ้าพระยา,part_2_2,https://www.thairath.co.th/entertain/news/2324887,2/25/2022,ไทยรัฐ,บันเทิง,,,
กรมเจ้าท่า ควบคุมการเดินเรือในแม่น้ำเจ้าพระยา ร่วม ทร.ค้นหาแตงโม นิดา,,https://www.thairath.co.th/news/local/central/2325151,2/25/2022,ไทยรัฐ,สังคมไทย,,,
ช่วงชีวิตที่ยากลำบากของ แตงโม นิดา มี เอ ศุภชัย ช่วยเหลือ,,https://www.thairath.co.th/entertain/news/2324896,2/25/2022,ไทยรัฐ,บันเทิง,,,
"สาวอ้างพบหญิงผิวออร่าคล้าย ""แตงโม นิดา"" อยู่บนเรือ ก่อนเกิดเหตุตกน้ำ (คลิป)",,https://www.thairath.co.th/news/society/2325405,2/25/2022,ไทยรัฐ,สังคมไทย,,,
แตงโม นิดา แมว 10 ชีวิต ลุกขึ้นสู้อีกครั้งแม้ตกต่ำขั้นสุด,,https://www.thairath.co.th/entertain/news/2324917,2/25/2022,ไทยรัฐ,บันเทิง,,,
"ทีมค้นหา ""แตงโม นิดา"" ยันปฏิบัติภารกิจเต็มที่แม้ข้อมูลน้อย เสี่ยงอันตราย",,https://www.thairath.co.th/news/society/2325511,2/25/2022,ไทยรัฐ,สังคมไทย,,,
"ตร.เรียกสอบปากคำกลุ่มเพื่อน ""แตงโม"" ตรวจหลักฐานสปีดโบ๊ต ",,/news/content/313076,2/25/2022,ThaiPBS,อาชญากรรม,,,
"สตาร์ทวันใหม่! ค้นหา ""แตงโม นิดา"" จนท.ชี้น้ำเชี่ยว-พิกัดไม่ชัดเจน",,/news/content/313065,2/25/2022,ThaiPBS,อาชญากรรม,,,
"แม่ ""แตงโม นิดา"" ติดตามภารกิจค้นหา กู้ภัยช่วยคนตกเจ้าพระยาแต่ไม่ใช่นางเอกดัง",,/news/content/313061,2/25/2022,ThaiPBS,อาชญากรรม,,,
"โซเชียล-เพื่อนวงการบันเทิงส่งกำลังใจ ""แตงโม"" พลัดตกเจ้าพระยา",part_2_2,/news/content/313067,2/25/2022,ThaiPBS,อาชญากรรม,,,
"ปรับแผนค้นหา ""แตงโม"" ระยะทาง 10 กม.  ",,/news/content/313074,2/25/2022,ThaiPBS,อาชญากรรม,,,
"เปิดชื่อเจ้าของเรือ ""แตงโม"" พลัดตก พบใบอนุญาต-ประกันภัยหมดอายุ",,/news/content/313087,2/25/2022,ThaiPBS,อาชญากรรม,,,
"เพื่อน ""แตงโม"" ยังไม่เข้าให้ปากคำตำรวจ ขอพบทนายก่อน",,/news/content/313091,2/25/2022,ThaiPBS,อาชญากรรม,,,
"ผจก.-คนขับเรือ-เพื่อน ""แตงโม"" เข้าให้ปากคำตำรวจ",part_2_2,/news/content/313097,2/25/2022,ThaiPBS,อาชญากรรม,,,
"เผยชื่อเจ้าของเรือ ""แตงโม-นิดา"" พลัดตก พบใบอนุญาต-ประกันภัย หมดอายุ",,https://www.thairath.co.th/news/local/2325561,2/25/2022,ไทยรัฐ,สังคมไทย,,,
ประดาน้ำกู้ภัยรวมกว่า 20 คนแบ่งทีม ต่อตัวกางแขนลงดำค้นหา แตงโม นิดา ,,https://www.thairath.co.th/news/local/central/2325211,2/25/2022,ไทยรัฐ,สังคมไทย,,,
"ย้อนมรสุมชีวิต ""แตงโม นิดา""",part_2_2,/news/content/313066,2/25/2022,ThaiPBS,บันเทิง,,,
"หัวหน้าทีมค้นหา ""แตงโม"" ยันเดินหน้าต่อตลอดทั้งคืน ""หาจนกว่าจะเจอ""",,https://www.thairath.co.th/news/crime/2325757,2/25/2022,ไทยรัฐ,อาชญากรรม,,,
"คนขับสปีดโบ๊ต-เพื่อน ""แตงโม"" เข้าพบตำรวจ ลั่น ""เสียใจมาก"" (คลิป)",,https://www.thairath.co.th/news/crime/2325750,2/25/2022,ไทยรัฐ,อาชญากรรม,,,
